Fig  3d,,,"Note from author: The {pH,potential} ranges are included only when the calculated NO2 binding energy is exothermic (favorable for adsorption)."
Model Data,,,
pH value,Potential of CuNP  (V vs. RHE),NO2 binding energy of CuNP (kJ mol-1),
5.5,-0.15,-0.56638,
5.6,-0.15,-1.14035,
5.7,-0.15,-1.71432,
5.8,-0.15,-2.28829,
5.9,-0.15,-2.86225,
6,-0.15,-3.43622,
6.1,-0.15,-4.01019,
6.2,-0.15,-4.58415,
6.3,-0.15,-5.15812,
6.4,-0.15,-5.73209,
6.5,-0.15,-6.30606,
6.6,-0.15,-6.88002,
6.7,-0.15,-7.45399,
6.8,-0.15,-8.02796,
6.9,-0.15,-8.60193,
7,-0.15,-9.17589,
7.1,-0.15,-9.74986,
7.2,-0.15,-10.3238,
7.3,-0.15,-10.8978,
7.4,-0.15,-11.4718,
7.5,-0.15,-12.0457,
7.6,-0.15,-12.6197,
7.7,-0.15,-13.1937,
7.8,-0.15,-13.7676,
7.9,-0.15,-14.3416,
8,-0.15,-14.9156,
8.1,-0.15,-15.4895,
8.2,-0.15,-16.0635,
8.3,-0.15,-16.6375,
8.4,-0.15,-17.2114,
8.5,-0.15,-17.7854,
8.6,-0.15,-18.3594,
8.7,-0.15,-18.9333,
8.8,-0.15,-19.5073,
8.9,-0.15,-20.0813,
9,-0.15,-20.6552,
9.1,-0.15,-21.2292,
9.2,-0.15,-21.8032,
9.3,-0.15,-22.3771,
9.4,-0.15,-22.9511,
9.5,-0.15,-23.5251,
9.6,-0.15,-24.099,
9.7,-0.15,-24.673,
9.8,-0.15,-25.247,
9.9,-0.15,-25.8209,
10,-0.15,-26.3949,
10.1,-0.15,-26.9689,
10.2,-0.15,-27.5428,
10.3,-0.15,-28.1168,
10.4,-0.15,-28.6908,
10.5,-0.15,-29.2647,
10.6,-0.15,-29.8387,
10.7,-0.15,-30.4127,
10.8,-0.15,-30.9866,
10.9,-0.15,-31.5606,
11,-0.15,-32.1346,
11.1,-0.15,-32.7086,
11.2,-0.15,-33.2825,
11.3,-0.15,-33.8565,
11.4,-0.15,-34.4305,
