Fig  3e,,,,"Note from author: 1. The blank cells indicate  the calculated NO2 binding energy was not exothermic under the corresponding {pH,potential}, implying no adsorption; thus, no value is reported and leave with blank.",
Model Data,,,,,2. Reader may find certain potential-pH ranges are duplicated; This is because NO2 binding was calculated separately on both TTM and CuNP for streamlined data analysis and visualization. Further details are provided in the Python code.
pH value,Potential of TTM (V vs. RHE),NO2 binding energy of TTM (kJ mol-1),NO2 binding energy of CuNP (kJ mol-1),,
6.0,-3.1,-0.21516,,,
6.1,-3.1,-0.78913,,,
6.2,-3.1,-1.36309,,,
6.3,-3.1,-1.93706,,,
6.4,-3.1,-2.51103,,,
6.5,-3.1,-3.085,,,
6.6,-3.1,-3.65896,,,
6.7,-3.1,-4.23293,,,
6.8,-3.1,-4.8069,,,
6.9,-3.1,-5.38087,,,
7.0,-3.1,-5.95483,,,
7.1,-3.1,-6.5288,,,
7.2,-3.1,-7.10277,,,
7.3,-3.1,-7.67673,,,
7.4,-3.1,-8.2507,,,
7.5,-3.1,-8.82467,,,
7.6,-3.1,-9.39864,,,
7.7,-3.1,-9.9726,,,
7.8,-3.1,-10.5466,,,
7.9,-3.1,-11.1205,,,
8.0,-3.1,-11.6945,,,
8.1,-3.1,-12.2685,,,
8.2,-3.1,-12.8424,,,
8.3,-3.1,-13.4164,,,
8.4,-3.1,-13.9904,,,
8.5,-3.1,-14.5643,,,
8.6,-3.1,-15.1383,,,
8.7,-3.1,-15.7123,,,
8.8,-3.1,-16.2862,,,
8.9,-3.1,-16.8602,,,
9.0,-3.1,-17.4342,,,
9.1,-3.1,-18.0081,,,
9.2,-3.1,-18.5821,,,
9.3,-3.1,-19.1561,,,
9.4,-3.1,-19.73,,,
9.5,-3.1,-20.304,,,
9.6,-3.1,-20.878,,,
9.7,-3.1,-21.4519,,,
9.8,-3.1,-22.0259,,,
9.9,-3.1,-22.5999,,,
10.0,-3.1,-23.1739,,,
10.1,-3.1,-23.7478,,,
10.2,-3.1,-24.3218,,,
10.3,-3.1,-24.8958,,,
10.4,-3.1,-25.4697,,,
10.5,-3.1,-26.0437,,,
10.6,-3.1,-26.6177,,,
10.7,-3.1,-27.1916,,,
10.8,-3.1,-27.7656,,,
10.9,-3.1,-28.3396,,,
11.0,-3.1,-28.9135,,,
11.1,-3.1,-29.4875,,,
11.2,-3.1,-30.0615,,,
11.3,-3.1,-30.6354,,,
11.4,-3.1,-31.2094,,,
11.5,-3.1,-31.7834,,,
11.6,-3.1,-32.3573,,,
11.7,-3.1,-32.9313,,,
11.8,-3.1,-33.5053,,,
11.9,-3.1,-34.0792,,,
12.0,-3.1,-34.6532,,,
6.0,-3.1,-0.21516,,,
6.1,-3.1,-0.78913,,,
6.2,-3.1,-1.36309,,,
6.3,-3.1,-1.93706,,,
6.4,-3.1,-2.51103,,,
6.5,-3.1,-3.085,,,
6.6,-3.1,-3.65896,,,
6.7,-3.1,-4.23293,,,
6.8,-3.1,-4.8069,,,
6.9,-3.1,-5.38087,,,
7.0,-3.1,-5.95483,,,
7.1,-3.05,-6.5288,,,
7.2,-3.05,-7.10277,,,
7.3,-3.05,-7.67673,,,
7.4,-3.05,-8.2507,,,
7.5,-3.05,-8.82467,,,
7.6,-3.05,-9.39864,,,
7.7,-3.05,-9.9726,,,
7.8,-3.05,-10.5466,,,
7.9,-3.05,-11.1205,,,
8.0,-3.05,-11.6945,,,
8.1,-3.05,-12.2685,,,
8.2,-3.05,-12.8424,,,
8.3,-3.05,-13.4164,,,
8.4,-3.05,-13.9904,,,
8.5,-3.05,-14.5643,,,
8.6,-3.05,-15.1383,,,
8.7,-3.05,-15.7123,,,
8.8,-3.05,-16.2862,,,
8.9,-3.05,-16.8602,,,
9.0,-3.05,-17.4342,,,
9.1,-3.05,-18.0081,,,
9.2,-3.05,-18.5821,,,
9.3,-3.05,-19.1561,,,
9.4,-3.05,-19.73,,,
9.5,-3.05,-20.304,,,
9.6,-3.05,-20.878,,,
9.7,-3.05,-21.4519,,,
9.8,-3.05,-22.0259,,,
9.9,-3.05,-22.5999,,,
10.0,-3.05,-23.1739,,,
10.1,-3.05,-23.7478,,,
10.2,-3.05,-24.3218,,,
10.3,-3.05,-24.8958,,,
10.4,-3.05,-25.4697,,,
10.5,-3.05,-26.0437,,,
10.6,-3.05,-26.6177,,,
10.7,-3.05,-27.1916,,,
10.8,-3.05,-27.7656,,,
10.9,-3.05,-28.3396,,,
11.0,-3.05,-28.9135,,,
11.1,-3.05,-29.4875,,,
11.2,-3.05,-30.0615,,,
11.3,-3.05,-30.6354,,,
11.4,-3.05,-31.2094,,,
11.5,-3.05,-31.7834,,,
11.6,-3.05,-32.3573,,,
11.7,-3.05,-32.9313,,,
11.8,-3.05,-33.5053,,,
11.9,-3.05,-34.0792,,,
12.0,-3.05,-34.6532,,,
6.0,-3.05,-0.21516,,,
6.1,-3.05,-0.78913,,,
6.2,-3.05,-1.36309,,,
6.3,-3.05,-1.93706,,,
6.4,-3.05,-2.51103,,,
6.5,-3.05,-3.085,,,
6.6,-3.05,-3.65896,,,
6.7,-3.05,-4.23293,,,
6.8,-3.05,-4.8069,,,
6.9,-3.05,-5.38087,,,
7.0,-3.05,-5.95483,,,
7.1,-3.05,-6.5288,,,
7.2,-3.05,-7.10277,,,
7.3,-3.05,-7.67673,,,
7.4,-3.05,-8.2507,,,
7.5,-3.05,-8.82467,,,
7.6,-3.05,-9.39864,,,
7.7,-3.05,-9.9726,,,
7.8,-3.05,-10.5466,,,
7.9,-3.05,-11.1205,,,
8.0,-3.05,-11.6945,,,
8.1,-3.05,-12.2685,,,
8.2,-3,-12.8424,,,
8.3,-3,-13.4164,,,
8.4,-3,-13.9904,,,
8.5,-3,-14.5643,,,
8.6,-3,-15.1383,,,
8.7,-3,-15.7123,,,
8.8,-3,-16.2862,,,
8.9,-3,-16.8602,,,
9.0,-3,-17.4342,,,
9.1,-3,-18.0081,,,
9.2,-3,-18.5821,,,
9.3,-3,-19.1561,,,
9.4,-3,-19.73,,,
9.5,-3,-20.304,,,
9.6,-3,-20.878,,,
9.7,-3,-21.4519,,,
9.8,-3,-22.0259,,,
9.9,-3,-22.5999,,,
10.0,-3,-23.1739,,,
10.1,-3,-23.7478,,,
10.2,-3,-24.3218,,,
10.3,-3,-24.8958,,,
10.4,-3,-25.4697,,,
10.5,-3,-26.0437,,,
10.6,-3,-26.6177,,,
10.7,-3,-27.1916,,,
10.8,-3,-27.7656,,,
10.9,-3,-28.3396,,,
11.0,-3,-28.9135,,,
11.1,-3,-29.4875,,,
11.2,-3,-30.0615,,,
11.3,-3,-30.6354,,,
11.4,-3,-31.2094,,,
11.5,-3,-31.7834,,,
11.6,-3,-32.3573,,,
11.7,-3,-32.9313,,,
11.8,-3,-33.5053,,,
11.9,-3,-34.0792,,,
12.0,-3,-34.6532,,,
6.0,-3,-0.21516,,,
6.1,-3,-0.78913,,,
6.2,-3,-1.36309,,,
6.3,-3,-1.93706,,,
6.4,-3,-2.51103,,,
6.5,-3,-3.085,,,
6.6,-3,-3.65896,,,
6.7,-3,-4.23293,,,
6.8,-3,-4.8069,,,
6.9,-3,-5.38087,,,
7.0,-3,-5.95483,,,
7.1,-3,-6.5288,,,
7.2,-3,-7.10277,,,
7.3,-3,-7.67673,,,
7.4,-3,-8.2507,,,
7.5,-3,-8.82467,,,
7.6,-3,-9.39864,,,
7.7,-3,-9.9726,,,
7.8,-3,-10.5466,,,
7.9,-3,-11.1205,,,
8.0,-3,-11.6945,,,
8.1,-3,-12.2685,,,
8.2,-3,-12.8424,,,
8.3,-3,-13.4164,,,
8.4,-3,-13.9904,,,
8.5,-3,-14.5643,,,
8.6,-3,-15.1383,,,
8.7,-3,-15.7123,,,
8.8,-3,-16.2862,,,
8.9,-3,-16.8602,,,
9.0,-3,-17.4342,,,
9.1,-3,-18.0081,,,
9.2,-3,-18.5821,,,
9.3,-2.95,-19.1561,,,
9.4,-2.95,-19.73,,,
9.5,-2.95,-20.304,,,
9.6,-2.95,-20.878,,,
9.7,-2.95,-21.4519,,,
9.8,-2.95,-22.0259,,,
9.9,-2.95,-22.5999,,,
10.0,-2.95,-23.1739,,,
10.1,-2.95,-23.7478,,,
